device,latency_visual_width,latency_visual_length,latency_batch_size,timed_iters,warmup_iters,throughput_videos_per_s,latency_median_ms,latency_std_ms,latency_mean_ms,sweep_type,attn_window,prompt_template,fusion_auc,fusion_ap,alpha,experiment,ablation_type,variant,prompt_length,prompt_placement,prompt_prefix,prompt_postfix,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP
,,,,,,,,,,,,,,,,xd_eval,,,,,,,,0.9366711811559837,0.7837584440971161,0.9381588789905454,0.7754596046191868,36.255783044746096,29.021826591702194,22.306572135772846,17.0774849618605,12.964585675251957,23.52525048186672
,,,,,,,,,,,,,,,,xd_eval,,,,,,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637
,,,,,,,,,,,,,,,,xd_eval,,branches,,,,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637
,,,,,,,,,,,,,0.9468126586913237,0.8450451936038323,0.0,xd_eval,,fusion_alpha_0.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9441389829700235,0.8332945660309857,0.25,xd_eval,,fusion_alpha_0.25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9424416140034756,0.8245828037705439,0.5,xd_eval,,fusion_alpha_0.50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9409486348815765,0.8160882463518362,0.75,xd_eval,,fusion_alpha_0.75,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.9390886368875115,0.8030852904160202,1.0,xd_eval,,fusion_alpha_1.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xd_eval,adapter,full,,,,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637
,,,,,,,,,,,,,,,,xd_eval,adapter,no_transformer,,,,,,0.7350366937746164,0.4529517654462722,0.7069876500305419,0.36829338582674115,15.16804018980737,10.830237850521888,7.65345014024368,4.552937815969859,2.4696182080796008,8.134856840924481
,,,,,,,,,,,,,,,,xd_eval,adapter,no_gcn,,,,,,0.6474173181198208,0.4103697051679729,0.663861338431094,0.3395918579003623,1.0458347426179007,0.4432183027708012,0.1874613932574003,0.08561114872020945,0.03933035456778379,0.36029118838681906
